condition,environment_seed,channel_seed,drop,delay,radius,final_entropy,F1,mission_return,episode_steps,measurement_count,path_length,messages_attempted,messages_range_eligible,messages_dropped,messages_delayed,messages_delivered,packet_delivery_ratio,effective_neighbor_degree,message_age_mean,message_age_max,communication_radius,normalized_communication_load,load_unit,pending_messages_discarded_at_episode_end,event_log
delay_1,15007,315007,0.0,1,25.0,0.22135092911071702,0.8029281576612692,10.76642595604062,15.0,60.0,300.0,180,94,0,94,88,0.9361702127659575,1.5666666666666667,1.0,1,25.0,0.5222222222222223,MESSAGE_UNITS,6,D:\AgentData\RAC-MIPP\S3-R0\events\delay_1_15007.jsonl
delay_1,15008,315008,0.0,1,25.0,0.33043057352030986,0.7360364971846874,7.632869329303503,15.0,60.0,300.0,180,90,0,90,84,0.9333333333333333,1.5,1.0,1,25.0,0.5,MESSAGE_UNITS,6,D:\AgentData\RAC-MIPP\S3-R0\events\delay_1_15008.jsonl
delay_1,15009,315009,0.0,1,25.0,0.2517712998932157,0.7411291046115198,7.182411499321461,15.0,60.0,300.0,180,126,0,126,114,0.9047619047619048,2.1,1.0,1,25.0,0.7,MESSAGE_UNITS,12,D:\AgentData\RAC-MIPP\S3-R0\events\delay_1_15009.jsonl
delay_1,15010,315010,0.0,1,25.0,0.26638853797758333,0.7333730231242153,6.001512456685305,15.0,60.0,300.0,180,130,0,130,118,0.9076923076923077,2.1666666666666665,1.0,1,25.0,0.7222222222222222,MESSAGE_UNITS,12,D:\AgentData\RAC-MIPP\S3-R0\events\delay_1_15010.jsonl
delay_3,15001,315001,0.0,3,25.0,0.42139028573909154,0.7126545340065628,3.4754638765007257,15.0,60.0,300.0,180,116,0,116,82,0.7068965517241379,1.9333333333333333,3.0,3,25.0,0.6444444444444445,MESSAGE_UNITS,34,D:\AgentData\RAC-MIPP\S3-R0\events\delay_3_15001.jsonl
delay_3,15002,315002,0.0,3,25.0,0.4361755566937579,0.7599743551807466,10.244151670485735,15.0,60.0,300.0,180,96,0,96,66,0.6875,1.6,3.0,3,25.0,0.5333333333333333,MESSAGE_UNITS,30,D:\AgentData\RAC-MIPP\S3-R0\events\delay_3_15002.jsonl
delay_3,15003,315003,0.0,3,25.0,0.2584471456893439,0.807623421761952,10.989817306399345,15.0,60.0,300.0,180,92,0,92,76,0.8260869565217391,1.5333333333333334,3.0,3,25.0,0.5111111111111111,MESSAGE_UNITS,16,D:\AgentData\RAC-MIPP\S3-R0\events\delay_3_15003.jsonl
delay_3,15004,315004,0.0,3,25.0,0.4555465240041063,0.6401414230696383,2.1773979756981134,15.0,60.0,300.0,180,122,0,122,98,0.8032786885245902,2.033333333333333,3.0,3,25.0,0.6777777777777778,MESSAGE_UNITS,24,D:\AgentData\RAC-MIPP\S3-R0\events\delay_3_15004.jsonl
delay_3,15005,315005,0.0,3,25.0,0.4072008743071527,0.7387342112938325,7.588446918874979,15.0,60.0,300.0,180,78,0,78,60,0.7692307692307693,1.3,3.0,3,25.0,0.43333333333333335,MESSAGE_UNITS,18,D:\AgentData\RAC-MIPP\S3-R0\events\delay_3_15005.jsonl
delay_3,15006,315006,0.0,3,25.0,0.24304871703255626,0.8292342412019245,14.523763131350279,15.0,60.0,300.0,180,86,0,86,74,0.8604651162790697,1.4333333333333333,3.0,3,25.0,0.4777777777777778,MESSAGE_UNITS,12,D:\AgentData\RAC-MIPP\S3-R0\events\delay_3_15006.jsonl
